sub,POA,token,syll_dur,v_dur,vot,Av,Ahi,max23,HiDiff,F23Diff
9,3,1471,0.144,0.114,0.03,41.6,14.8,28.2,26.8,13.4
10,2,1566,0.25,0.194,0.056,27.2,12.6,13.8,14.6,13.4
3,3,532,0.499,0.446,0.053,40.8,12.8,27.3,28,13.5
4,2,718,0.0657,0.0468,0.0189,37.1,21,23.6,16.1,13.5
4,3,751,0.207,0.1403,0.0667,25.8,6.5,12.2,19.3,13.6
5,3,1015,0.282,0.205,0.077,29.9,-6.7,16.3,36.6,13.6
8,3,1331,0.23,0.143,0.087,43.4,10.7,29.8,32.7,13.6
8,3,1336,0.134,0.068,0.066,47.7,13.9,34.1,33.8,13.6
8,3,1341,0.159,0.105,0.054,43.8,7.9,30.2,35.9,13.6
11,3,105,0.507,0.441,0.066,35.2,8.5,21.6,26.7,13.6
12,3,106,0.433,0.363,0.07,25.9,-0.9,12.3,26.8,13.6
10,2,1548,0.316,0.232,0.084,28,14.3,14.3,13.7,13.7
2,3,399,0.119,0.09,0.029,41.9,7.4,28.1,34.5,13.8
4,3,798,0.0834,0.0575,0.0259,42.3,18.6,28.5,23.7,13.8
5,3,1001,0.356,0.263,0.093,37.2,4.9,23.4,32.3,13.8
5,3,1014,0.285,0.203,0.082,31.7,8.5,17.9,23.2,13.8
2,2,314,0.36,0.253,0.107,24.8,-3.9,10.9,28.7,13.9
4,3,745,0.1912,0.1579,0.0333,34.3,7.8,20.4,26.5,13.9
4,3,782,0.106,0.0809,0.0251,32.2,4.9,18.3,27.3,13.9
8,3,1332,0.24,0.149,0.091,42.6,7.4,28.7,35.2,13.9
10,2,1578,0.27,0.232,0.038,26.2,12.2,12.2,14,14
6,3,9,0.223,0.182,0.041,39.1,18.2,25.1,20.9,14
12,1,8,0.351,0.285,0.066,21.3,-11.4,7.3,32.7,14
12,3,121,0.383,0.316,0.067,20.8,-6,6.8,26.8,14
1,3,206,0.0941,0.0635,0.0306,33.3,-1.6,19.2,34.9,14.1
4,2,695,0.0746,0.0426,0.032,28.4,19.9,14.3,8.5,14.1
5,2,967,0.113,0.0525,0.0605,22.2,4,8.1,18.2,14.1
9,3,1456,0.381,0.318,0.063,41.2,16.6,27.1,24.6,14.1
1,3,174,0.1791,0.149,0.0301,31,-1.2,16.8,32.2,14.2
1,3,205,0.1049,0.0727,0.0322,32.7,5.4,18.5,27.3,14.2
4,3,758,0.156,0.1128,0.0432,25.8,-0.6,11.6,26.4,14.2
12,1,26,0.284,0.242,0.042,15.1,-13.7,0.9,28.8,14.2
4,3,762,0.1462,0.1177,0.0285,29.2,1.9,14.9,27.3,14.3
4,3,800,0.0993,0.054,0.0453,40.1,18.1,25.8,22,14.3
12,3,105,0.5,0.432,0.068,24.4,-5.2,10.1,29.6,14.3
8,3,1326,0.207,0.14,0.067,42.2,8.8,27.8,33.4,14.4
10,3,1622,0.224,0.174,0.05,31.1,4.6,16.7,26.5,14.4
8,3,1338,0.178,0.142,0.036,44.7,5.7,30.2,39,14.5
9,3,1457,0.338,0.287,0.051,41.2,17.1,26.7,24.1,14.5
12,3,120,0.368,0.309,0.059,20,-0.8,5.5,20.8,14.5
2,2,300,0.451,0.317,0.134,32.3,15.9,17.7,16.4,14.6
4,3,767,0.1324,0.099,0.0334,27,1.2,12.4,25.8,14.6
8,3,1344,0.147,0.11,0.037,43.7,5.6,29.1,38.1,14.6
11,3,125,0.176,0.135,0.041,42,11.5,27.4,30.5,14.6
9,3,1455,0.384,0.338,0.046,41.1,11.3,26.4,29.8,14.7
10,3,1633,0.09,0.067,0.023,29.7,9.9,15,19.8,14.7
12,1,15,0.41,0.357,0.053,22.6,-8,7.9,30.6,14.7
3,3,536,0.477,0.41,0.067,41.7,18.9,26.9,22.8,14.8
4,3,760,0.1864,0.155,0.0314,29.1,-0.9,14.3,30,14.8
12,3,112,0.372,0.299,0.073,24.9,-5.4,10.1,30.3,14.8
1,3,198,0.1556,0.0967,0.0589,25.7,-7.8,10.8,33.5,14.9
7,3,1174,0.183,0.152,0.031,37.3,16.8,22.4,20.5,14.9
8,3,1311,0.388,0.309,0.079,46.7,7.2,31.8,39.5,14.9
12,3,116,0.379,0.304,0.075,23.2,-2,8.3,25.2,14.9
1,1,5,0.4254,0.3333,0.0921,29.3,5.2,14.3,24.1,15
1,1,19,0.2767,0.1894,0.0873,23.7,1.8,8.7,21.9,15
2,2,324,0.343,0.257,0.086,24.7,-0.2,9.7,24.9,15
5,3,1030,0.128,0.079,0.049,32.6,-0.1,17.6,32.7,15
10,3,1596,0.337,0.245,0.092,27,7.9,12,19.1,15
5,3,1017,0.252,0.188,0.064,33.5,-3,18.4,36.5,15.1
10,1,1489,0.305,0.234,0.071,28.1,10.8,13,17.3,15.1
12,3,124,0.368,0.321,0.047,22.3,-3.2,7.2,25.5,15.1
4,3,786,0.1151,0.0751,0.04,34.8,3.7,19.6,31.1,15.2
7,3,1190,0.187,0.157,0.03,34.1,15.3,18.9,18.8,15.2
10,2,1557,0.218,0.169,0.049,28.1,9.3,12.9,18.8,15.2
5,3,1027,0.118,0.08,0.038,28.7,-6.8,13.4,35.5,15.3
12,1,11,0.336,0.281,0.055,23,-1.7,7.7,24.7,15.3
5,3,1011,0.308,0.242,0.066,30.4,1.2,15,29.2,15.4
9,1,1354,0.49,0.413,0.077,32,15.3,16.6,16.7,15.4
10,1,1486,0.397,0.31,0.087,27.9,8.1,12.5,19.8,15.4
10,2,1587,0.142,0.115,0.027,19.4,5.3,4,14.1,15.4
2,2,318,0.354,0.229,0.125,26.5,1.2,11,25.3,15.5
2,2,326,0.378,0.275,0.103,23,-3.6,7.5,26.6,15.5
4,3,756,0.1668,0.1089,0.0579,27.2,2.3,11.7,24.9,15.5
7,3,1193,0.106,0.077,0.029,34.1,12.2,18.6,21.9,15.5
10,3,1601,0.37,0.298,0.072,29.7,7,14.2,22.7,15.5
12,2,71,0.437,0.363,0.074,22.3,-5.5,6.8,27.8,15.5
1,2,125,0.1028,0.0634,0.0394,30.7,15.4,15.1,15.3,15.6
1,3,164,0.4922,0.3935,0.0987,28.2,1.8,12.6,26.4,15.6
2,2,304,0.43,0.292,0.138,28.4,2.7,12.8,25.7,15.6
2,2,348,0.201,0.124,0.077,23.8,4.8,8.2,19,15.6
5,2,925,0.3011,0.2185,0.0826,30.1,8.1,14.5,22,15.6
10,2,1581,0.134,0.117,0.017,30.8,9.2,15.2,21.6,15.6
12,3,107,0.473,0.403,0.07,24.4,-2.4,8.8,26.8,15.6
2,3,402,0.115,0.088,0.027,37,11,21.3,26,15.7
7,3,1188,0.166,0.145,0.021,33.5,15.4,17.8,18.1,15.7
9,3,1474,0.166,0.124,0.042,42,17.1,26.3,24.9,15.7
4,3,780,0.1076,0.0759,0.0317,32.3,6.8,16.5,25.5,15.8
5,2,977,0.0997,0.06,0.0397,24.6,6.5,8.8,18.1,15.8
12,1,13,0.427,0.366,0.061,23.8,-4.3,8,28.1,15.8
1,1,7,0.4423,0.3161,0.1262,26.6,8.8,10.7,17.8,15.9
1,3,171,0.2072,0.1598,0.0474,31.9,-2.1,16,34,15.9
4,3,754,0.1589,0.1148,0.0441,29.3,-2.3,13.4,31.6,15.9
10,2,1539,0.357,0.285,0.072,31.3,21.5,15.4,9.8,15.9
10,3,1608,0.305,0.245,0.06,30.2,9.1,14.3,21.1,15.9
12,3,99,0.535,0.431,0.104,27.2,4.2,11.3,23,15.9
4,3,792,0.0859,0.056,0.0299,33.8,4.5,17.8,29.3,16
8,3,1345,0.152,0.104,0.048,43.2,5.9,27.2,37.3,16
1,1,8,0.41,0.2861,0.1239,24,6.2,7.9,17.8,16.1
1,2,100,0.1595,0.1231,0.0364,31.6,15.4,15.5,16.2,16.1
3,3,531,0.523,0.447,0.076,45.2,16,29.1,29.2,16.1
4,2,651,0.2062,0.1576,0.0486,31.8,12.7,15.7,19.1,16.1
10,1,1482,0.304,0.227,0.077,27.1,8.4,11,18.7,16.1
10,2,1584,0.124,0.111,0.013,25.9,9.1,9.8,16.8,16.1
1,3,173,0.208,0.1537,0.0543,29.9,-6.3,13.7,36.2,16.2
2,2,311,0.304,0.214,0.09,26.6,1.1,10.4,25.5,16.2
3,3,549,0.341,0.294,0.047,44.6,13.7,28.4,30.9,16.2
5,2,926,0.3034,0.2298,0.0736,30.2,9.1,14,21.1,16.2
5,2,948,0.1634,0.0871,0.0763,27.7,2.3,11.5,25.4,16.2
5,3,1021,0.328,0.231,0.097,29.9,-11.3,13.7,41.2,16.2
8,3,1327,0.216,0.143,0.073,45.8,11.6,29.6,34.2,16.2
10,2,1590,0.127,0.072,0.055,25.6,4.1,9.4,21.5,16.2
11,3,107,0.441,0.379,0.062,36.5,2.9,20.3,33.6,16.2
12,1,4,0.404,0.321,0.083,22.1,-0.4,5.9,22.5,16.2
2,2,315,0.332,0.219,0.113,24.6,1.1,8.3,23.5,16.3
7,3,1180,0.187,0.161,0.026,30.3,11.4,14,18.9,16.3
8,3,1348,0.148,0.126,0.022,46.6,3.9,30.3,42.7,16.3
10,1,1478,0.376,0.29,0.086,29,8.6,12.7,20.4,16.3
1,3,220,0.0959,0.0698,0.0261,31.4,-1.5,15,32.9,16.4
3,3,550,0.192,0.155,0.037,41.1,11.1,24.7,30,16.4
8,3,1351,0.164,0.129,0.035,44.6,9.2,28.2,35.4,16.4
1,2,97,0.1744,0.0579,0.1165,33.6,4.6,17.1,29,16.5
1,2,101,0.1493,0.1187,0.0306,28.6,5.5,12.1,23.1,16.5
1,3,166,0.4035,0.3166,0.0869,27.9,5,11.4,22.9,16.5
2,2,325,0.357,0.275,0.082,27.2,2.6,10.7,24.6,16.5
5,2,919,0.2729,0.1918,0.0811,30.9,8,14.4,22.9,16.5
8,3,1334,0.206,0.152,0.054,50.3,13.1,33.8,37.2,16.5
9,3,1447,0.374,0.318,0.056,40.9,14.6,24.4,26.3,16.5
9,3,1458,0.374,0.307,0.067,39.8,11.5,23.3,28.3,16.5
10,1,1501,0.278,0.194,0.084,27.5,8.4,11,19.1,16.5
10,2,1554,0.237,0.182,0.055,31,18.8,14.5,12.2,16.5
12,3,127,0.328,0.271,0.057,25,-8.6,8.5,33.6,16.5
2,2,334,0.153,0.078,0.075,28.9,12.3,12.3,16.6,16.6
2,3,395,0.115,0.083,0.032,41.9,9.5,25.3,32.4,16.6
3,3,544,0.321,0.275,0.046,44.2,8.6,27.6,35.6,16.6
4,3,772,0.0869,0.0567,0.0302,41,6.8,24.4,34.2,16.6
